nr articolo,budget/consuntivo,Nr. Ordine di produzione,Descrizione,Nr. Area di produzione,Risorsa,Tempo risorsa,Quantità di output
ART0001926,BUDGET,ODP16-14758,Controllo qualità,CQ,RIS16,0.00,3.00
ART0005136,BUDGET,ODP17-01034,Tornitura,A20,RIS2,0.50,4.00
ART0001766,BUDGET,ODP17-00323,Tornitura,A20,RIS14,2.50,4.00
ART0001811,BUDGET,ODP16-17117,Tornitura,A20,RIS14,5.00,7.00
ART0005136,BUDGET,ODP17-01034,Controllo qualità,CQ,RIS16,0.00,4.00
ART0005136,BUDGET,ODP17-01034,Controllo qualità,CQ,RIS16,0.00,4.00
ART0005136,BUDGET,ODP17-01034,Controllo qualità,CQ,RIS16,0.00,4.00
ART0002385,BUDGET,ODP17-00322,Controllo qualità,CQ,RIS16,0.00,25.00
ART0005136,BUDGET,ODP17-01203,Fresatura,A30,RIS9,1.00,1.00
ART0005136,BUDGET,ODP17-01203,Controllo qualità,CQ,RIS16,0.00,1.00
ART0001766,BUDGET,ODP17-00323,Fresatura,A30,RIS7,0.25,0.00
ART0003780,BUDGET,ODP17-00973,Tornitura,A20,RIS14,6.50,42.00
ART0001759,BUDGET,ODP17-01092,Tornitura,A20,RIS14,2.50,40.00
ART0001759,BUDGET,ODP17-01092,Tornitura,A20,RIS14,3.50,0.00
ART0001766,BUDGET,ODP17-00323,Fresatura,A30,RIS7,3.50,4.00
ART0001759,BUDGET,ODP17-01092,Tornitura,A20,RIS14,4.50,0.00
ART0001500,BUDGET,ODP17-00272,Tornitura,A20,RIS2,0.75,1.00
ART0001500,BUDGET,ODP17-00272,Controllo qualità,CQ,RIS16,0.00,1.00
ART0001811,BUDGET,ODP16-17117,Fresatura,A30,RIS7,0.75,0.00
ART0000125,BUDGET,ODP17-00418,Tornitura,A20,RIS2,1.50,1.00
ART0003780,BUDGET,ODP17-00973,Fresatura,A30,RIS11,1.50,0.00
ART0004146,BUDGET,ODP16-13864,Montaggio,A40,RIS1,4.50,0.00
ART0000125,BUDGET,ODP17-00418,Fresatura,A30,RIS2,1.50,1.00
ART0001811,BUDGET,ODP16-17117,Fresatura,A30,RIS7,5.25,7.00
ART0001593,BUDGET,ODP17-00976,Tornitura,A20,RIS2,0.75,4.00
ART0001811,BUDGET,ODP16-17117,Controllo qualità,CQ,RIS16,0.00,7.00
ART0004099,BUDGET,ODP17-00171,Montaggio,A40,RIS4,2.00,0.00
ART0004146,BUDGET,ODP16-13864,Montaggio,A40,RIS4,3.00,0.00
ART0000125,BUDGET,ODP17-00418,Fresatura,A30,RIS7,1.25,1.00
ART0000128,BUDGET,ODP16-15233,Controllo qualità,CQ,RIS16,0.00,11.00
ART0000312,BUDGET,ODP16-15706,Controllo qualità,CQ,RIS16,0.00,44.00
ART0000752,BUDGET,ODP16-17117,Montaggio,A40,RIS4,0.50,1.00
ART0000752,BUDGET,ODP16-17117,Controllo qualità,CQ,RIS16,0.00,1.00
ART0001593,BUDGET,ODP17-00976,Fresatura,A30,RIS7,0.25,4.00
ART0003160,BUDGET,ODP17-00976,Tornitura,A20,RIS1,1.50,1.00
ART0001759,BUDGET,ODP17-01092,Fresatura,A30,RIS7,5.25,40.00
ART0000630,BUDGET,ODP17-00857,Fresatura,A30,RIS9,5.00,21.00
ART0001866,BUDGET,ODP17-01092,Fresatura,A30,RIS7,2.25,0.00
ART0001866,BUDGET,ODP17-01092,Tornitura,A20,RIS14,4.50,40.00
ART0001866,BUDGET,ODP17-01092,Tornitura,A20,RIS14,9.50,0.00
ART0001866,BUDGET,ODP17-01092,Tornitura,A20,RIS14,8.50,0.00
ART0001866,BUDGET,ODP17-01092,Tornitura,A20,RIS14,5.00,0.00
ART0002010,BUDGET,ODP17-01401,Tornitura,A20,RIS2,1.00,3.00
ART0001866,BUDGET,ODP17-01092,Fresatura,A30,RIS7,7.75,0.00
ART0001593,BUDGET,ODP17-00976,Controllo qualità,CQ,RIS16,0.00,4.00
ART0002513,BUDGET,ODP17-00855,Controllo qualità,CQ,RIS16,0.00,5.00
ART0001775,BUDGET,ODP16-17386,Tornitura,A20,RIS14,3.00,15.00
ART0001775,BUDGET,ODP16-17386,Tornitura,A20,RIS14,4.00,0.00
ART0001866,BUDGET,ODP17-01092,Fresatura,A30,RIS7,5.00,40.00
ART0001866,BUDGET,ODP17-01092,Brocciatura / stozzatrice,A33,RIS13,2.50,40.00
ART0001874,BUDGET,ODP17-01406,Tornitura,A20,RIS2,0.50,1.00
ART0002010,BUDGET,ODP17-01401,Fresatura,A30,RIS7,0.75,3.00
ART0002267,BUDGET,ODP17-01401,Tornitura,A20,RIS2,2.50,2.00
ART0002140,BUDGET,ODP17-01403,Tornitura,A20,RIS2,1.00,1.00
ART0002139,BUDGET,ODP17-01403,Tornitura,A20,RIS2,1.00,1.00
ART0001249,BUDGET,ODP17-01401,Tornitura,A20,RIS2,0.50,1.00
ART0001874,BUDGET,ODP17-01406,Tornitura,A20,RIS1,1.50,0.00
ART0001759,BUDGET,ODP17-01092,Fresatura,A30,RIS7,2.50,0.00
ART0001759,BUDGET,ODP17-01092,Controllo qualità,CQ,RIS16,0.00,40.00
ART0002139,BUDGET,ODP17-01403,Fresatura,A30,RIS7,0.50,1.00
ART0002140,BUDGET,ODP17-01403,Fresatura,A30,RIS7,1.00,1.00
ART0002793,BUDGET,ODP17-00856,Fresatura,A30,RIS9,5.00,20.00
ART0002140,BUDGET,ODP17-01403,Tornitura,A20,RIS2,0.25,0.00
ART0002267,BUDGET,ODP17-01401,Fresatura,A30,RIS7,0.75,2.00
ART0000131,BUDGET,ODP16-16476,Tornitura,A20,RIS2,5.00,7.00
ART0001874,BUDGET,ODP17-01406,Fresatura,A30,RIS7,2.00,1.00
ART0002895,BUDGET,ODP17-01403,Fresatura,A30,RIS9,1.25,0.00
ART0002896,BUDGET,ODP17-01403,Fresatura,A30,RIS9,1.25,0.00
ART0000131,BUDGET,ODP16-16476,Fresatura,A30,RIS7,1.00,0.00
ART0000131,BUDGET,ODP16-16476,Fresatura,A30,RIS7,0.75,7.00
ART0003160,BUDGET,ODP17-00976,Controllo qualità,CQ,RIS16,0.00,1.00
ART0000131,BUDGET,ODP16-16476,Controllo qualità,CQ,RIS16,0.00,7.00
ART0002896,BUDGET,ODP17-01403,Fresatura,A30,RIS9,1.00,1.00
ART0002895,BUDGET,ODP17-01403,Fresatura,A30,RIS9,1.00,1.00
ART0001766,BUDGET,ODP17-00323,Controllo qualità,CQ,RIS16,0.00,4.00
ART0000782,BUDGET,ODP17-01274,Montaggio,A40,RIS4,1.00,3.00
ART0000782,BUDGET,ODP17-01274,Controllo qualità,CQ,RIS16,0.00,3.00
ART0003135,BUDGET,ODP17-01401,Fresatura,A30,RIS9,0.25,4.00
ART0003135,BUDGET,ODP17-01401,Controllo qualità,CQ,RIS16,0.00,4.00
ART0001886,BUDGET,ODP17-01410,Tornitura,A20,RIS14,2.00,15.00
ART0001886,BUDGET,ODP17-01410,Tornitura,A20,RIS14,3.50,0.00
ART0002793,BUDGET,ODP17-00856,Controllo qualità,CQ,RIS16,0.00,20.00
ART0000804,BUDGET,ODP17-01276,Montaggio,A40,RIS4,3.50,10.00
ART0002267,BUDGET,ODP17-01401,Controllo qualità,CQ,RIS16,0.00,2.00
ART0001249,BUDGET,ODP17-01401,Controllo qualità,CQ,RIS16,0.00,1.00
ART0002140,BUDGET,ODP17-01403,Controllo qualità,CQ,RIS16,0.00,1.00
ART0000762,BUDGET,ODP17-01090,Montaggio,A40,RIS4,3.50,10.00
ART0000804,BUDGET,ODP17-01276,Controllo qualità,CQ,RIS16,0.00,3.00
ART0000762,BUDGET,ODP17-01090,Controllo qualità,CQ,RIS16,0.00,10.00
ART0002139,BUDGET,ODP17-01403,Controllo qualità,CQ,RIS16,0.00,1.00
ART0002010,BUDGET,ODP17-01401,Controllo qualità,CQ,RIS16,0.00,3.00
ART0001921,BUDGET,ODP17-01273,Tornitura,A20,RIS14,5.50,12.00
ART0001775,BUDGET,ODP16-17386,Fresatura,A30,RIS9,2.00,0.00
ART0001923,BUDGET,ODP17-01277,Tornitura,A20,RIS1,5.00,4.00
ART0001923,BUDGET,ODP17-01277,Tornitura,A20,RIS2,1.50,0.00
ART0001765,BUDGET,ODP17-01269,Tornitura,A20,RIS14,2.00,6.00
ART0002070,BUDGET,ODP17-01405,Tornitura,A20,RIS2,1.25,1.00
ART0001775,BUDGET,ODP16-17386,Fresatura,A30,RIS9,6.75,30.00
ART0001920,BUDGET,ODP17-00323,Controllo qualità,CQ,RIS16,0.00,3.00
ART0001886,BUDGET,ODP17-01410,Fresatura,A30,RIS9,1.75,0.00
ART0000825,BUDGET,ODP17-00323,Montaggio,A40,RIS4,2.00,3.00
ART0001897,BUDGET,ODP16-17384,Controllo qualità,CQ,RIS16,0.00,15.00
ART0001886,BUDGET,ODP16-17386,Controllo qualità,CQ,RIS16,0.00,15.00
ART0000825,BUDGET,ODP17-00323,Controllo qualità,CQ,RIS16,0.00,3.00
ART0002139,BUDGET,ODP17-01403,Fresatura,A30,RIS7,0.15,0.00
ART0000804,BUDGET,ODP17-01276,Montaggio,A40,RIS4,-2.50,0.00
ART0001886,BUDGET,ODP17-01410,Fresatura,A30,RIS9,3.15,15.00
ART0004152,BUDGET,ODP17-01270,Tornitura,A20,RIS14,1.50,0.00
ART0004152,BUDGET,ODP17-01270,Tornitura,A20,RIS14,9.00,0.00
ART0004152,BUDGET,ODP17-01270,Tornitura,A20,RIS14,2.00,30.00
ART0001775,BUDGET,ODP16-17386,Tornitura,A20,RIS14,4.00,0.00
ART0001775,BUDGET,ODP16-17386,Tornitura,A20,RIS14,2.00,0.00
ART0001775,BUDGET,ODP16-17386,Tornitura,A20,RIS14,3.00,15.00
ART0002866,BUDGET,ODP17-01501,Tornitura,A20,RIS14,2.50,3.00
ART0002866,BUDGET,ODP17-01501,Fresatura,A30,RIS7,1.75,3.00
ART0001765,BUDGET,ODP17-01269,Fresatura,A30,RIS7,1.50,0.00
ART0001765,BUDGET,ODP17-01269,Fresatura,A30,RIS7,0.50,6.00
ART0002866,BUDGET,ODP17-01501,Controllo qualità,CQ,RIS16,0.00,3.00
ART0001765,BUDGET,ODP17-01269,Controllo qualità,CQ,RIS16,0.00,6.00
ART0001886,BUDGET,ODP17-01410,Fresatura,A30,RIS7,1.25,0.00
ART0002015,BUDGET,ODP17-01405,Tornitura,A20,RIS2,1.00,1.00
ART0001895,BUDGET,ODP17-01509,Tornitura,A20,RIS14,3.00,6.00
ART0003610,BUDGET,ODP17-00973,Tornitura,A20,RIS14,3.00,8.00
ART0000762,BUDGET,ODP16-17384,Montaggio,A40,RIS4,3.00,15.00
ART0000762,BUDGET,ODP16-17384,Controllo qualità,CQ,RIS16,0.00,15.00
ART0000756,BUDGET,ODP17-01269,Montaggio,A40,RIS11,1.00,5.00
ART0000756,BUDGET,ODP17-01269,Controllo qualità,CQ,RIS16,0.00,5.00
ART0001923,BUDGET,ODP17-01277,Fresatura,A30,RIS7,3.75,4.00
ART0001895,BUDGET,ODP17-01509,Fresatura,A30,RIS7,3.00,6.00
ART0003610,BUDGET,ODP17-00973,Controllo qualità,CQ,RIS16,0.00,8.00
ART0001783,BUDGET,ODP17-01509,Tornitura,A20,RIS14,3.50,6.00
ART0003780,BUDGET,ODP17-00973,Controllo qualità,CQ,RIS16,0.00,42.00
ART0001813,BUDGET,ODP17-01277,Tornitura,A20,RIS14,2.00,4.00
ART0000848,BUDGET,ODP16-17386,Montaggio,A40,RIS4,1.50,15.00
ART0000848,BUDGET,ODP16-17386,Montaggio,A40,RIS13,1.50,15.00
ART0001921,BUDGET,ODP17-01273,Fresatura,A30,RIS7,0.25,0.00
ART0002740,BUDGET,ODP17-01511,Tornitura,A20,RIS2,3.75,0.00
ART0000765,BUDGET,ODP17-01510,Montaggio,A40,RIS4,0.25,1.00
ART0000765,BUDGET,ODP17-01510,Controllo qualità,CQ,RIS16,0.00,1.00
ART0002740,BUDGET,ODP17-01511,Tornitura,A20,RIS2,2.25,40.00
ART0001762,BUDGET,ODP17-01406,Tornitura,A20,RIS14,2.50,1.00
ART0001921,BUDGET,ODP17-01273,Fresatura,A30,RIS7,5.50,11.00
ART0004202,BUDGET,ODP17-01566,Tornitura,A20,RIS2,0.75,1.00
ART0004942,BUDGET,ODP17-01515,Tornitura,A20,RIS14,2.50,8.00
ART0004941,BUDGET,ODP17-01515,Fresatura,A30,RIS9,4.00,0.00
ART0004202,BUDGET,ODP17-01566,Tornitura,A20,RIS2,1.00,1.00
ART0002896,BUDGET,ODP17-01403,Tornitura,A20,RIS2,0.35,1.00
ART0002895,BUDGET,ODP17-01403,Tornitura,A20,RIS2,0.35,1.00
ART0004941,BUDGET,ODP17-01515,Fresatura,A30,RIS9,3.75,8.00
ART0005091,BUDGET,ODP17-01515,Tornitura,A20,RIS14,1.50,4.00
ART0005091,BUDGET,ODP17-01515,Tornitura,A20,RIS14,0.50,0.00
ART0002882,BUDGET,ODP17-01760,Tornitura,A20,RIS2,1.25,1.00
ART0004946,BUDGET,ODP17-01515,Fresatura,A30,RIS9,6.50,16.00
ART0001866,BUDGET,ODP17-01092,Rettifica,A34,RIS13,10.00,0.00
ART0004947,BUDGET,ODP17-01515,Fresatura,A30,RIS9,2.83,8.00
