Nr. movimento,budget/cons,Tipo movimento,Nr articolo,Tipo origine,Nr. origine,Quantità,Importo vendita in valuta locale (TOTALE VENDITA)
21740,BUDGET,Vendita,ART0005136,Cliente,C00461,2.00,95.00
21748,BUDGET,Vendita,ART0004386,Cliente,C00004,50.00,325.00
21751,BUDGET,Vendita,ART0000635,Cliente,C00004,12.00,180.00
21815,BUDGET,Vendita,ART0005136,Cliente,C00455,1.00,16.00
21816,BUDGET,Vendita,ART0005136,Cliente,C00455,1.00,16.00
21818,BUDGET,Vendita,ART0002214,Cliente,C00140,1.00,89.30
21824,BUDGET,Vendita,ART0003101,Cliente,C00140,5.00,103.40
21827,BUDGET,Vendita,ART0000756,Cliente,C00140,5.00,1363.00
21828,BUDGET,Vendita,ART0001017,Cliente,C00140,1.00,291.40
21829,BUDGET,Vendita,ART0001017,Cliente,C00140,1.00,291.40
21830,BUDGET,Vendita,ART0000825,Cliente,C00140,2.00,676.80
21967,BUDGET,Vendita,ART0005136,Cliente,C00455,1.00,10.00
22006,BUDGET,Vendita,ART0003578,Cliente,C00094,2.00,20.00
22007,BUDGET,Vendita,ART0003578,Cliente,C00094,2.00,20.00
22008,BUDGET,Vendita,ART0003580,Cliente,C00094,2.00,26.00
22009,BUDGET,Vendita,ART0003580,Cliente,C00094,2.00,26.00
22012,BUDGET,Vendita,ART0003613,Cliente,C00094,4.00,108.00
22018,BUDGET,Vendita,ART0003782,Cliente,C00094,4.00,76.00
22021,BUDGET,Vendita,ART0005136,Cliente,C00094,1.00,17.00
22058,BUDGET,Vendita,ART0002145,Cliente,C00140,1.00,79.90
22059,BUDGET,Vendita,ART0002513,Cliente,C00140,4.00,135.36
22060,BUDGET,Vendita,ART0002551,Cliente,C00140,3.00,1156.20
22061,BUDGET,Vendita,ART0002424,Cliente,C00140,6.00,78.96
22062,BUDGET,Vendita,ART0001253,Cliente,C00140,1.00,79.90
22063,BUDGET,Vendita,ART0001741,Cliente,C00140,1.00,169.20
22095,BUDGET,Vendita,ART0003785,Cliente,C00094,6.00,84.00
22096,BUDGET,Vendita,ART0003785,Cliente,C00094,6.00,84.00
22101,BUDGET,Vendita,ART0003785,Cliente,C00094,4.00,56.00
22165,BUDGET,Vendita,ART0000625,Cliente,C00004,5.00,490.00
22166,BUDGET,Vendita,ART0000627,Cliente,C00004,20.00,460.00
22167,BUDGET,Vendita,ART0000639,Cliente,C00004,7.00,136.50
22168,BUDGET,Vendita,ART0005136,Cliente,C00004,1.00,0.00
22169,BUDGET,Vendita,ART0005136,Cliente,C00004,1.00,0.00
22170,BUDGET,Vendita,ART0005136,Cliente,C00004,1.00,0.00
22171,BUDGET,Vendita,ART0005136,Cliente,C00004,1.00,0.00
22172,BUDGET,Vendita,ART0005136,Cliente,C00004,1.00,75.00
22173,BUDGET,Vendita,ART0005136,Cliente,C00004,1.00,300.00
22196,BUDGET,Vendita,ART0005136,Cliente,C00017,1.00,130.00
22222,BUDGET,Vendita,ART0000758,Cliente,C00140,6.00,1655.90
22223,BUDGET,Vendita,ART0000850,Cliente,C00140,5.00,1480.50
22226,BUDGET,Vendita,ART0002740,Cliente,C00140,20.00,394.80
22227,BUDGET,Vendita,ART0002740,Cliente,C00140,20.00,394.80
22228,BUDGET,Vendita,ART0001743,Cliente,C00140,3.00,2412.80
22230,BUDGET,Vendita,ART0002451,Cliente,C00140,3.00,765.35
22231,BUDGET,Vendita,ART0002552,Cliente,C00140,3.00,90.80
22239,BUDGET,Vendita,ART0002012,Cliente,C00140,2.00,127.84
22244,BUDGET,Vendita,ART0002385,Cliente,C00140,6.00,219.96
22246,BUDGET,Vendita,ART0001154,Cliente,C00140,14.00,144.76
22297,BUDGET,Vendita,ART0001188,Cliente,C00140,1.00,31.02
22298,BUDGET,Vendita,ART0001214,Cliente,C00140,1.00,178.60
22299,BUDGET,Vendita,ART0002132,Cliente,C00140,1.00,63.92
22300,BUDGET,Vendita,ART0002144,Cliente,C00140,1.00,63.92
22301,BUDGET,Vendita,ART0002511,Cliente,C00140,1.00,61.10
22302,BUDGET,Vendita,ART0002274,Cliente,C00140,2.00,357.20
22303,BUDGET,Vendita,ART0002102,Cliente,C00140,4.00,109.04
22304,BUDGET,Vendita,ART0002366,Cliente,C00140,4.00,276.74
22344,BUDGET,Vendita,ART0005136,Cliente,C00004,1.00,13.00
22348,BUDGET,Vendita,ART0003824,Cliente,C00026,20.00,220.00
22349,BUDGET,Vendita,ART0000308,Cliente,C00026,10.00,200.00
22360,BUDGET,Vendita,ART0002997,Cliente,C00140,2.00,460.60
22361,BUDGET,Vendita,ART0003197,Cliente,C00140,2.00,48.88
22362,BUDGET,Vendita,ART0001228,Cliente,C00140,1.00,0.00
22363,BUDGET,Vendita,ART0001238,Cliente,C00140,1.00,0.00
22366,BUDGET,Vendita,ART0001228,Cliente,C00140,1.00,0.00
22367,BUDGET,Vendita,ART0001238,Cliente,C00140,1.00,0.00
22369,BUDGET,Vendita,ART0001228,Cliente,C00140,1.00,12.97
22370,BUDGET,Vendita,ART0001238,Cliente,C00140,1.00,17.86
22405,BUDGET,Vendita,ART0001422,Cliente,C00140,12.00,51.89
22406,BUDGET,Vendita,ART0002753,Cliente,C00140,1.00,103.40
22428,BUDGET,Vendita,ART0000645,Cliente,C00004,13.00,390.00
22429,BUDGET,Vendita,ART0005136,Cliente,C00004,4.00,40.00
22430,BUDGET,Vendita,ART0005136,Cliente,C00004,4.00,196.00
22500,BUDGET,Vendita,ART0005136,Cliente,C00458,1.00,35.00
22520,BUDGET,Vendita,ART0005136,Cliente,C00236,1.00,2100.00
22527,BUDGET,Vendita,ART0004099,Cliente,C00297,1.00,905.00
22535,BUDGET,Vendita,ART0004146,Cliente,C00297,25.00,3650.00
22723,BUDGET,Vendita,ART0003824,Cliente,C00026,20.00,220.00
22724,BUDGET,Vendita,ART0000128,Cliente,C00026,5.00,140.00
22725,BUDGET,Vendita,ART0000312,Cliente,C00026,20.00,320.00
22727,BUDGET,Vendita,ART0000313,Cliente,C00026,6.00,168.00
22728,BUDGET,Vendita,ART0000630,Cliente,C00004,21.00,630.00
22729,BUDGET,Vendita,ART0000645,Cliente,C00004,10.00,300.00
22731,BUDGET,Vendita,ART0000630,Cliente,C00004,10.00,340.00
22732,BUDGET,Vendita,ART0000644,Cliente,C00004,10.00,450.00
22735,BUDGET,Vendita,ART0000752,Cliente,C00140,1.00,428.64
22744,BUDGET,Vendita,ART0000805,Cliente,C00140,1.00,460.60
22747,BUDGET,Vendita,ART0001500,Cliente,C00140,1.00,45.12
22750,BUDGET,Vendita,ART0002273,Cliente,C00140,1.00,122.20
22753,BUDGET,Vendita,ART0002996,Cliente,C00140,2.00,498.20
22761,BUDGET,Vendita,ART0002102,Cliente,C00140,4.00,109.04
22762,BUDGET,Vendita,ART0002385,Cliente,C00140,6.00,219.96
22763,BUDGET,Vendita,ART0002385,Cliente,C00140,6.00,219.96
22771,BUDGET,Vendita,ART0003132,Cliente,C00140,2.00,35.72
22772,BUDGET,Vendita,ART0003844,Cliente,C00140,1.00,30.08
22847,BUDGET,Vendita,ART0005136,Cliente,C00465,1.00,320.00
22881,BUDGET,Vendita,ART0002513,Cliente,C00140,4.00,135.36
22890,BUDGET,Vendita,ART0001593,Cliente,C00140,4.00,37.60
22960,BUDGET,Vendita,ART0000795,Cliente,C00140,1.00,220.90
22961,BUDGET,Vendita,ART0000782,Cliente,C00140,3.00,831.90
22962,BUDGET,Vendita,ART0000762,Cliente,C00140,10.00,3365.20
22963,BUDGET,Vendita,ART0000804,Cliente,C00140,3.00,1247.85
22972,BUDGET,Vendita,ART0003160,Cliente,C00140,1.00,89.30
22973,BUDGET,Vendita,ART0001249,Cliente,C00140,1.00,65.80
22975,BUDGET,Vendita,ART0002010,Cliente,C00140,1.00,47.00
22976,BUDGET,Vendita,ART0002267,Cliente,C00140,2.00,184.24
22977,BUDGET,Vendita,ART0003135,Cliente,C00140,1.00,32.90
22980,BUDGET,Vendita,ART0002793,Cliente,C00140,20.00,714.40
22984,BUDGET,Vendita,ART0002139,Cliente,C00140,1.00,64.86
22985,BUDGET,Vendita,ART0002140,Cliente,C00140,1.00,72.65
23013,BUDGET,Vendita,ART0000825,Cliente,C00140,1.00,338.40
23014,BUDGET,Vendita,ART0000825,Cliente,C00140,2.00,676.80
23022,BUDGET,Vendita,ART0005136,Cliente,C00004,1.00,15.00
23148,BUDGET,Vendita,ART0002866,Cliente,C00140,2.00,144.76
23149,BUDGET,Vendita,ART0000756,Cliente,C00140,5.00,1363.00
23150,BUDGET,Vendita,ART0000762,Cliente,C00140,15.00,5047.80
23179,BUDGET,Vendita,ART0003780,Cliente,C00094,18.00,288.00
23180,BUDGET,Vendita,ART0003785,Cliente,C00094,12.00,168.00
23183,BUDGET,Vendita,ART0003610,Cliente,C00094,8.00,200.00
23184,BUDGET,Vendita,ART0003642,Cliente,C00094,1.00,23.00
23185,BUDGET,Vendita,ART0003704,Cliente,C00094,1.00,48.00
23190,BUDGET,Vendita,ART0003780,Cliente,C00094,24.00,384.00
23199,BUDGET,Vendita,ART0000848,Cliente,C00140,15.00,2538.00
23315,BUDGET,Vendita,ART0000795,Cliente,C00140,19.00,4197.10
23322,BUDGET,Vendita,ART0000131,Cliente,C00026,2.00,66.00
23402,BUDGET,Vendita,ART0000690,Cliente,C00004,10.00,690.00
23405,BUDGET,Vendita,ART0004385,Cliente,C00004,20.00,180.00
23436,BUDGET,Vendita,ART0002895,Cliente,C00140,1.00,158.86
23437,BUDGET,Vendita,ART0002896,Cliente,C00140,1.00,155.10
23612,BUDGET,Vendita,ART0002385,Cliente,C00140,6.00,220.04
23613,BUDGET,Vendita,ART0003189,Cliente,C00140,4.00,75.23
23616,BUDGET,Vendita,ART0002882,Cliente,C00140,1.00,216.27
23628,BUDGET,Vendita,ART0001659,Cliente,C00140,12.00,180.54
23645,BUDGET,Vendita,ART0001659,Cliente,C00140,12.00,180.54
23658,BUDGET,Vendita,ART0001154,Cliente,C00140,15.00,155.16
23659,BUDGET,Vendita,ART0001433,Cliente,C00140,4.00,18.80
23668,BUDGET,Vendita,ART0002210,Cliente,C00140,1.00,23.36
23676,BUDGET,Vendita,ART0000853,Cliente,C00140,8.00,2422.30
23677,BUDGET,Vendita,ART0000765,Cliente,C00140,1.00,362.03
23678,BUDGET,Vendita,ART0000853,Cliente,C00140,3.00,908.36
23682,BUDGET,Vendita,ART0002740,Cliente,C00140,20.00,394.94
23686,BUDGET,Vendita,ART0001628,Cliente,C00140,12.00,146.69
23687,BUDGET,Vendita,ART0001628,Cliente,C00140,6.00,73.35
23688,BUDGET,Vendita,ART0001628,Cliente,C00140,12.00,146.69
23712,BUDGET,Vendita,ART0005136,Cliente,C00458,1.00,35.00
23713,BUDGET,Vendita,ART0005136,Cliente,C00084,1.00,36.00
23714,BUDGET,Vendita,ART0005136,Cliente,C00084,1.00,50.00
23715,BUDGET,Vendita,ART0005136,Cliente,C00084,16.00,48.00
23766,BUDGET,Vendita,ART0000125,Cliente,C00026,1.00,270.00
23773,BUDGET,Vendita,ART0000625,Cliente,C00004,5.00,490.00
23774,BUDGET,Vendita,ART0000627,Cliente,C00004,20.00,460.00
23775,BUDGET,Vendita,ART0000635,Cliente,C00004,10.00,150.00
23776,BUDGET,Vendita,ART0000644,Cliente,C00004,10.00,450.00
23777,BUDGET,Vendita,ART0000645,Cliente,C00004,10.00,300.00
23863,BUDGET,Vendita,ART0005136,Cliente,C00084,1.00,90.00
23985,BUDGET,Vendita,ART0005136,Cliente,C00020,20.00,4400.00
24024,BUDGET,Vendita,ART0002859,Cliente,C00140,7.00,1204.57
24025,BUDGET,Vendita,ART0002860,Cliente,C00140,7.00,1204.57
24029,BUDGET,Vendita,ART0002210,Cliente,C00140,1.00,23.36
24073,BUDGET,Vendita,ART0004084,Cliente,C00297,1.00,1040.00
24115,BUDGET,Vendita,ART0002042,Cliente,C00140,7.00,638.49
24125,BUDGET,Vendita,ART0002886,Cliente,C00140,1.00,126.94
24128,BUDGET,Vendita,ART0000782,Cliente,C00140,4.00,1109.60
24129,BUDGET,Vendita,ART0000752,Cliente,C00140,6.00,2572.76
24130,BUDGET,Vendita,ART0000757,Cliente,C00140,1.00,399.64
24158,BUDGET,Vendita,ART0000782,Cliente,C00140,1.00,277.40
24212,BUDGET,Vendita,ART0000643,Cliente,C00004,10.00,100.00
24215,BUDGET,Vendita,ART0004410,Cliente,C00004,2.00,122.00
24221,BUDGET,Vendita,ART0000848,Cliente,C00140,13.00,2200.39
24223,BUDGET,Vendita,ART0004941,Cliente,C00456,8.00,600.00
24224,BUDGET,Vendita,ART0004942,Cliente,C00456,8.00,480.00
24226,BUDGET,Vendita,ART0004944,Cliente,C00456,8.00,28.00
24228,BUDGET,Vendita,ART0004946,Cliente,C00456,16.00,832.00
24229,BUDGET,Vendita,ART0004947,Cliente,C00456,8.00,176.00
24235,BUDGET,Vendita,ART0005091,Cliente,C00456,4.00,96.00
24342,BUDGET,Vendita,ART0000129,Cliente,C00026,5.00,0.00
24343,BUDGET,Vendita,ART0000129,Cliente,C00026,5.00,0.00
24344,BUDGET,Vendita,ART0000129,Cliente,C00026,5.00,725.00
24376,BUDGET,Vendita,ART0005136,Cliente,C00003,3.00,270.00
24408,BUDGET,Vendita,ART0000795,Cliente,C00140,10.00,2209.79
24409,BUDGET,Vendita,ART0000848,Cliente,C00140,2.00,338.52
24411,BUDGET,Vendita,ART0001615,Cliente,C00140,28.00,394.94
24412,BUDGET,Vendita,ART0001422,Cliente,C00140,12.00,51.91
24415,BUDGET,Vendita,ART0003268,Cliente,C00140,1.00,4.75
24416,BUDGET,Vendita,ART0001261,Cliente,C00140,1.00,11.29
24418,BUDGET,Vendita,ART0001263,Cliente,C00140,1.00,12.23
24419,BUDGET,Vendita,ART0001587,Cliente,C00140,3.00,29.84
24420,BUDGET,Vendita,ART0002598,Cliente,C00140,1.00,84.63
24425,BUDGET,Vendita,ART0000697,Cliente,C00004,4.00,280.00
24483,BUDGET,Vendita,ART0000783,Cliente,C00140,2.00,546.55
24484,BUDGET,Vendita,ART0000783,Cliente,C00140,2.00,546.56
24485,BUDGET,Vendita,ART0000804,Cliente,C00140,1.00,415.95
24486,BUDGET,Vendita,ART0000748,Cliente,C00140,49.00,3776.92
24488,BUDGET,Vendita,ART0003164,Cliente,C00140,1.00,84.60
24614,BUDGET,Vendita,ART0000752,Cliente,C00140,6.00,2572.76
24615,BUDGET,Vendita,ART0000757,Cliente,C00140,1.00,399.64
24616,BUDGET,Vendita,ART0000765,Cliente,C00140,1.00,362.03
24617,BUDGET,Vendita,ART0000782,Cliente,C00140,4.00,1109.60
24618,BUDGET,Vendita,ART0000782,Cliente,C00140,1.00,277.40
24620,BUDGET,Vendita,ART0000795,Cliente,C00140,10.00,2209.79
24622,BUDGET,Vendita,ART0000848,Cliente,C00140,13.00,2200.39
24623,BUDGET,Vendita,ART0000848,Cliente,C00140,2.00,338.52
24624,BUDGET,Vendita,ART0000853,Cliente,C00140,8.00,2422.30
24625,BUDGET,Vendita,ART0000853,Cliente,C00140,3.00,908.36
24626,BUDGET,Vendita,ART0001154,Cliente,C00140,15.00,155.16
24631,BUDGET,Vendita,ART0001261,Cliente,C00140,1.00,11.29
24633,BUDGET,Vendita,ART0001263,Cliente,C00140,1.00,12.23
24634,BUDGET,Vendita,ART0001422,Cliente,C00140,12.00,51.91
24635,BUDGET,Vendita,ART0001433,Cliente,C00140,4.00,18.80
24658,BUDGET,Vendita,ART0001587,Cliente,C00140,3.00,29.84
24661,BUDGET,Vendita,ART0001615,Cliente,C00140,28.00,394.94
24662,BUDGET,Vendita,ART0001628,Cliente,C00140,12.00,146.69
24663,BUDGET,Vendita,ART0001628,Cliente,C00140,6.00,73.35
24664,BUDGET,Vendita,ART0001628,Cliente,C00140,12.00,146.69
24667,BUDGET,Vendita,ART0001659,Cliente,C00140,12.00,180.54
24668,BUDGET,Vendita,ART0001659,Cliente,C00140,12.00,180.54
24675,BUDGET,Vendita,ART0002042,Cliente,C00140,7.00,638.49
24679,BUDGET,Vendita,ART0002210,Cliente,C00140,1.00,23.36
24680,BUDGET,Vendita,ART0002210,Cliente,C00140,1.00,23.36
24690,BUDGET,Vendita,ART0002385,Cliente,C00140,6.00,220.04
24697,BUDGET,Vendita,ART0002598,Cliente,C00140,1.00,84.63
24701,BUDGET,Vendita,ART0002740,Cliente,C00140,20.00,394.94
24714,BUDGET,Vendita,ART0002859,Cliente,C00140,7.00,1204.57
24715,BUDGET,Vendita,ART0002860,Cliente,C00140,7.00,1204.57
24717,BUDGET,Vendita,ART0002882,Cliente,C00140,1.00,216.27
24718,BUDGET,Vendita,ART0002886,Cliente,C00140,1.00,126.94
24745,BUDGET,Vendita,ART0003189,Cliente,C00140,4.00,75.23
24749,BUDGET,Vendita,ART0003268,Cliente,C00140,1.00,4.75
24757,BUDGET,Vendita,ART0000752,Cliente,C00140,6.00,2572.76
24758,BUDGET,Vendita,ART0000757,Cliente,C00140,1.00,399.64
24759,BUDGET,Vendita,ART0000765,Cliente,C00140,1.00,362.03
24760,BUDGET,Vendita,ART0000782,Cliente,C00140,4.00,1109.60
24761,BUDGET,Vendita,ART0000782,Cliente,C00140,1.00,277.40
24763,BUDGET,Vendita,ART0000795,Cliente,C00140,10.00,2209.79
24765,BUDGET,Vendita,ART0000848,Cliente,C00140,13.00,2200.39
24766,BUDGET,Vendita,ART0000848,Cliente,C00140,2.00,338.52
24767,BUDGET,Vendita,ART0000853,Cliente,C00140,8.00,2422.30
24768,BUDGET,Vendita,ART0000853,Cliente,C00140,3.00,908.36
24769,BUDGET,Vendita,ART0001154,Cliente,C00140,15.00,155.16
24774,BUDGET,Vendita,ART0001261,Cliente,C00140,1.00,11.29
24776,BUDGET,Vendita,ART0001263,Cliente,C00140,1.00,12.23
24777,BUDGET,Vendita,ART0001422,Cliente,C00140,12.00,51.91
24778,BUDGET,Vendita,ART0001433,Cliente,C00140,4.00,18.80
24801,BUDGET,Vendita,ART0001587,Cliente,C00140,3.00,29.84
24804,BUDGET,Vendita,ART0001615,Cliente,C00140,28.00,394.94
24805,BUDGET,Vendita,ART0001628,Cliente,C00140,12.00,146.69
24806,BUDGET,Vendita,ART0001628,Cliente,C00140,6.00,73.35
24807,BUDGET,Vendita,ART0001628,Cliente,C00140,12.00,146.69
24810,BUDGET,Vendita,ART0001659,Cliente,C00140,12.00,180.54
24811,BUDGET,Vendita,ART0001659,Cliente,C00140,12.00,180.54
24818,BUDGET,Vendita,ART0002042,Cliente,C00140,7.00,638.49
24822,BUDGET,Vendita,ART0002210,Cliente,C00140,1.00,23.36
24823,BUDGET,Vendita,ART0002210,Cliente,C00140,1.00,23.36
24833,BUDGET,Vendita,ART0002385,Cliente,C00140,6.00,220.04
24840,BUDGET,Vendita,ART0002598,Cliente,C00140,1.00,84.63
24844,BUDGET,Vendita,ART0002740,Cliente,C00140,20.00,394.94
24857,BUDGET,Vendita,ART0002859,Cliente,C00140,7.00,1204.57
24858,BUDGET,Vendita,ART0002860,Cliente,C00140,7.00,1204.57
24860,BUDGET,Vendita,ART0002882,Cliente,C00140,1.00,216.27
24861,BUDGET,Vendita,ART0002886,Cliente,C00140,1.00,126.94
24888,BUDGET,Vendita,ART0003189,Cliente,C00140,4.00,75.23
24892,BUDGET,Vendita,ART0003268,Cliente,C00140,1.00,4.75
24907,BUDGET,Vendita,ART0000893,Cliente,C00001,2.00,250.00
24908,BUDGET,Vendita,ART0005136,Cliente,C00004,1.00,20.00
24936,BUDGET,Vendita,ART0002041,Cliente,C00140,7.00,230.30
24937,BUDGET,Vendita,ART0002133,Cliente,C00140,7.00,1184.40
25086,BUDGET,Vendita,ART0005136,Cliente,C00094,1.00,150.00
25089,BUDGET,Vendita,ART0005136,Cliente,C00018,1.00,150.00
25093,BUDGET,Vendita,ART0000312,Cliente,C00026,16.00,256.00
25099,BUDGET,Vendita,ART0005028,Cliente,C00026,1.00,350.00
25108,BUDGET,Vendita,ART0000783,Cliente,C00140,2.00,546.55
25109,BUDGET,Vendita,ART0000795,Cliente,C00140,10.00,2209.00
25111,BUDGET,Vendita,ART0000851,Cliente,C00140,15.00,2529.54
25113,BUDGET,Vendita,ART0000804,Cliente,C00140,1.00,415.95
25115,BUDGET,Vendita,ART0000850,Cliente,C00140,6.00,1776.60
25117,BUDGET,Vendita,ART0002148,Cliente,C00140,3.00,111.56
25124,BUDGET,Vendita,ART0002385,Cliente,C00140,6.00,219.96
25125,BUDGET,Vendita,ART0002012,Cliente,C00140,1.00,63.92
25129,BUDGET,Vendita,ART0002010,Cliente,C00140,1.00,47.00
25130,BUDGET,Vendita,ART0003135,Cliente,C00140,1.00,32.90
25132,BUDGET,Vendita,ART0002740,Cliente,C00140,20.00,394.80
25133,BUDGET,Vendita,ART0002107,Cliente,C00140,3.00,28.20
25135,BUDGET,Vendita,ART0005136,Cliente,C00140,1.00,143.35
25137,BUDGET,Vendita,ART0002224,Cliente,C00140,16.00,1173.12
25138,BUDGET,Vendita,ART0002366,Cliente,C00140,16.00,1106.95
25139,BUDGET,Vendita,ART0002793,Cliente,C00140,60.00,2143.20
25140,BUDGET,Vendita,ART0003189,Cliente,C00140,36.00,676.80
25143,BUDGET,Vendita,ART0002228,Cliente,C00140,1.00,87.42
25146,BUDGET,Vendita,ART0002416,Cliente,C00140,4.00,22.56
25149,BUDGET,Vendita,ART0002958,Cliente,C00140,1.00,82.25
25150,BUDGET,Vendita,ART0002959,Cliente,C00140,1.00,130.66
25154,BUDGET,Vendita,ART0001493,Cliente,C00140,1.00,42.30
25155,BUDGET,Vendita,ART0001636,Cliente,C00140,4.00,56.40
25156,BUDGET,Vendita,ART0002228,Cliente,C00140,1.00,87.42
25157,BUDGET,Vendita,ART0002263,Cliente,C00140,1.00,126.90
25158,BUDGET,Vendita,ART0002416,Cliente,C00140,12.00,67.68
25161,BUDGET,Vendita,ART0002958,Cliente,C00140,1.00,82.25
25162,BUDGET,Vendita,ART0002959,Cliente,C00140,1.00,130.66
25163,BUDGET,Vendita,ART0003195,Cliente,C00140,2.00,131.60
25177,BUDGET,Vendita,ART0003132,Cliente,C00140,2.00,35.72
25178,BUDGET,Vendita,ART0003844,Cliente,C00140,1.00,30.08
25181,BUDGET,Vendita,ART0001497,Cliente,C00140,1.00,20.68
25182,BUDGET,Vendita,ART0002271,Cliente,C00140,1.00,150.40
25184,BUDGET,Vendita,ART0002829,Cliente,C00140,3.00,84.60
25186,BUDGET,Vendita,ART0001497,Cliente,C00140,1.00,20.68
25187,BUDGET,Vendita,ART0001739,Cliente,C00140,1.00,79.90
25188,BUDGET,Vendita,ART0002271,Cliente,C00140,1.00,150.40
25190,BUDGET,Vendita,ART0002829,Cliente,C00140,3.00,84.60
25203,BUDGET,Vendita,ART0000628,Cliente,C00004,10.00,1500.00
25204,BUDGET,Vendita,ART0000645,Cliente,C00004,10.00,300.00
25205,BUDGET,Vendita,ART0000643,Cliente,C00004,10.00,100.00
25206,BUDGET,Vendita,ART0000644,Cliente,C00004,12.00,540.00
25274,BUDGET,Vendita,ART0000762,Cliente,C00140,10.00,3365.20
25333,BUDGET,Vendita,ART0001745,Cliente,C00140,1.00,357.20
25334,BUDGET,Vendita,ART0002262,Cliente,C00140,1.00,169.20
25335,BUDGET,Vendita,ART0002455,Cliente,C00140,1.00,545.20
25336,BUDGET,Vendita,ART0002580,Cliente,C00140,1.00,263.20
25337,BUDGET,Vendita,ART0002581,Cliente,C00140,1.00,286.70
25338,BUDGET,Vendita,ART0001264,Cliente,C00140,1.00,11.28
25344,BUDGET,Vendita,ART0001185,Cliente,C00140,4.00,109.04
25345,BUDGET,Vendita,ART0002866,Cliente,C00140,4.00,289.52
25393,BUDGET,Vendita,ART0001637,Cliente,C00140,4.00,488.80
25395,BUDGET,Vendita,ART0001741,Cliente,C00140,1.00,169.20
25397,BUDGET,Vendita,ART0001653,Cliente,C00140,3.00,50.76
25399,BUDGET,Vendita,ART0001653,Cliente,C00140,3.00,50.76
25402,BUDGET,Vendita,ART0002267,Cliente,C00140,2.00,184.24
25403,BUDGET,Vendita,ART0002139,Cliente,C00140,1.00,64.86
25404,BUDGET,Vendita,ART0002140,Cliente,C00140,1.00,72.64
25441,BUDGET,Vendita,ART0005136,Cliente,C00455,4.00,200.00
25454,BUDGET,Vendita,ART0000811,Cliente,C00140,2.00,1485.20
25456,BUDGET,Vendita,ART0001267,Cliente,C00140,1.00,47.00
25459,BUDGET,Vendita,ART0001739,Cliente,C00140,1.00,79.90
25465,BUDGET,Vendita,ART0002456,Cliente,C00140,1.00,327.12
25466,BUDGET,Vendita,ART0002988,Cliente,C00140,1.00,216.20
25467,BUDGET,Vendita,ART0002989,Cliente,C00140,1.00,225.60
25468,BUDGET,Vendita,ART0002990,Cliente,C00140,1.00,169.20
25507,BUDGET,Vendita,ART0005136,Cliente,C00004,50.00,150.00
25531,BUDGET,Vendita,ART0005136,Cliente,C00455,1.00,16.00
25532,BUDGET,Vendita,ART0005136,Cliente,C00455,1.00,16.00
25580,BUDGET,Vendita,ART0000783,Cliente,C00140,6.00,1639.66
