Nr. movimento,Budget/cons,Tipo movimento,Codice MP,Tipo origine,Nr articolo,Nr. documento,Quantità MP impiegata,Importo costo (TOTALE)
21913,BUDGET,Consumo,ART0005163,Articolo,ART0001017,ODP16-15843,1.00,0.53
21916,BUDGET,Consumo,ART0001767,Articolo,ART0001017,ODP16-16663,1.00,65.97
21917,BUDGET,Consumo,ART0001879,Articolo,ART0001017,ODP16-16663,1.00,149.12
21918,BUDGET,Consumo,ART0001395,Articolo,ART0001017,ODP16-16663,1.00,7.50
21919,BUDGET,Consumo,ART0003832,Articolo,ART0001017,ODP16-16663,3.00,8.25
21920,BUDGET,Consumo,ART0005163,Articolo,ART0001017,ODP16-16663,1.00,0.53
21921,BUDGET,Consumo,ART0001877,Articolo,ART0000756,ODP16-15977,5.00,645.23
21922,BUDGET,Consumo,ART0001765,Articolo,ART0000756,ODP16-15977,5.00,421.96
21923,BUDGET,Consumo,ART0001429,Articolo,ART0000756,ODP16-15977,10.00,39.29
21924,BUDGET,Consumo,ART0005140,Articolo,ART0000756,ODP16-15977,15.00,22.50
21925,BUDGET,Consumo,ART0005141,Articolo,ART0000756,ODP16-15977,5.00,0.98
21928,BUDGET,Consumo,ART0005166,Articolo,ART0001180,ODP16-14655,525.00,4.21
21934,BUDGET,Consumo,ART0005171,Articolo,ART0005136,ODP17-00172,15.00,1.23
21935,BUDGET,Consumo,ART0005171,Articolo,ART0005136,ODP17-00172,15.00,1.23
22113,BUDGET,Consumo,ART0001082,Articolo,ART0003785,ODP16-16557,3600.00,71.81
22121,BUDGET,Consumo,ART0005191,Articolo,ART0003580,ODP16-16560,550.00,82.55
22122,BUDGET,Consumo,ART0005192,Articolo,ART0003578,ODP16-16560,600.00,23.80
22125,BUDGET,Consumo,ART0005189,Articolo,ART0003613,ODP16-16560,164.00,32.38
22126,BUDGET,Consumo,ART0005188,Articolo,ART0003782,ODP16-16560,712.00,10.02
22148,BUDGET,Consumo,ART0005160,Articolo,ART0002513,ODP16-15976,252.00,55.23
22185,BUDGET,Consumo,ART0005209,Articolo,ART0000625,ODP16-15709,1200.00,157.89
22186,BUDGET,Consumo,ART0005210,Articolo,ART0000627,ODP16-15709,2500.00,0.00
22188,BUDGET,Consumo,ART0005210,Articolo,ART0000639,ODP16-15709,665.00,0.00
22191,BUDGET,Consumo,ART0005213,Articolo,ART0005136,ODP16-16477,40.00,3.28
22192,BUDGET,Consumo,ART0005213,Articolo,ART0005136,ODP16-16477,280.00,22.96
22247,BUDGET,Consumo,ART0005214,Articolo,ART0001743,ODP16-15980,765.00,86.56
22248,BUDGET,Consumo,ART0005215,Articolo,ART0002551,ODP16-15980,105.00,14.74
22249,BUDGET,Consumo,ART0005216,Articolo,ART0002552,ODP16-15980,3.00,0.00
22252,BUDGET,Consumo,ART0005218,Articolo,ART0001253,ODP16-15711,670.00,5.92
22253,BUDGET,Consumo,ART0005161,Articolo,ART0001741,ODP16-15711,70.00,10.09
22261,BUDGET,Consumo,ART0001891,Articolo,ART0000850,ODP16-14652,5.00,496.26
22262,BUDGET,Consumo,ART0001779,Articolo,ART0000850,ODP16-14652,5.00,170.94
22263,BUDGET,Consumo,ART0005222,Articolo,ART0000850,ODP16-14652,10.00,10.75
22264,BUDGET,Consumo,ART0001404,Articolo,ART0000850,ODP16-14652,10.00,23.44
22265,BUDGET,Consumo,ART0005223,Articolo,ART0000850,ODP16-14652,5.00,0.56
22266,BUDGET,Consumo,ART0005188,Articolo,ART0001891,ODP16-14652,640.00,9.01
22267,BUDGET,Consumo,ART0005224,Articolo,ART0001779,ODP16-14652,400.00,22.40
22268,BUDGET,Consumo,ART0001772,Articolo,ART0000758,ODP16-16047,6.00,283.40
22269,BUDGET,Consumo,ART0001884,Articolo,ART0000758,ODP16-16047,6.00,788.50
22270,BUDGET,Consumo,ART0001982,Articolo,ART0000758,ODP16-16047,6.00,12.00
22271,BUDGET,Consumo,ART0005149,Articolo,ART0000758,ODP16-16047,6.00,0.00
22272,BUDGET,Consumo,ART0005140,Articolo,ART0000758,ODP16-16047,18.00,27.00
22273,BUDGET,Consumo,ART0005225,Articolo,ART0000758,ODP16-16047,6.00,0.00
22274,BUDGET,Consumo,ART0005226,Articolo,ART0000758,ODP16-16047,6.00,0.92
22276,BUDGET,Consumo,ART0005142,Articolo,ART0001884,ODP16-16047,805.00,48.42
22280,BUDGET,Consumo,ART0005176,Articolo,ART0005136,ODP17-00416,1.00,0.00
22284,BUDGET,Consumo,ART0005229,Articolo,ART0001154,ODP16-17335,3625.00,27.19
22307,BUDGET,Consumo,ART0005230,Articolo,ART0001188,ODP16-17333,60.00,1.17
22308,BUDGET,Consumo,ART0005160,Articolo,ART0001214,ODP16-17333,140.00,30.68
22309,BUDGET,Consumo,ART0005161,Articolo,ART0002132,ODP16-17333,27.00,3.89
22310,BUDGET,Consumo,ART0005161,Articolo,ART0002144,ODP16-17333,27.00,3.89
22311,BUDGET,Consumo,ART0005231,Articolo,ART0002145,ODP16-17333,40.00,8.82
22312,BUDGET,Consumo,ART0005232,Articolo,ART0002511,ODP16-17333,26.00,2.69
22389,BUDGET,Consumo,ART0005159,Articolo,ART0002012,ODP16-17338,44.00,24.54
22390,BUDGET,Consumo,ART0005234,Articolo,ART0002274,ODP16-17338,240.00,99.55
22392,BUDGET,Consumo,ART0005235,Articolo,ART0002997,ODP16-17338,2.00,190.00
22393,BUDGET,Consumo,ART0005236,Articolo,ART0003197,ODP16-17338,3.00,36.00
22400,BUDGET,Consumo,ART0005239,Articolo,ART0000308,ODP16-16945,80.00,12.40
22402,BUDGET,Consumo,ART0005241,Articolo,ART0003824,ODP16-14469,946.00,4.24
22416,BUDGET,Consumo,ART0005185,Articolo,ART0002102,ODP16-16942,1092.00,11.50
22417,BUDGET,Consumo,ART0001074,Articolo,ART0002366,ODP16-16942,140.00,24.04
22418,BUDGET,Consumo,ART0005246,Articolo,ART0002740,ODP16-16942,2800.00,80.36
22419,BUDGET,Consumo,ART0005247,Articolo,ART0001228,ODP16-17337,235.00,0.56
22420,BUDGET,Consumo,ART0005248,Articolo,ART0001238,ODP16-17337,360.00,3.60
22422,BUDGET,Consumo,ART0005232,Articolo,ART0002753,ODP16-17337,90.00,9.30
22435,BUDGET,Consumo,ART0005250,Articolo,ART0005136,ODP17-01034,4.00,0.00
22436,BUDGET,Consumo,ART0005186,Articolo,ART0005136,ODP17-01034,280.00,7.73
22492,BUDGET,Consumo,ART0005263,Articolo,ART0001926,ODP16-14758,1020.00,128.53
22493,BUDGET,Consumo,ART0005227,Articolo,ART0001817,ODP16-14758,975.00,141.01
22517,BUDGET,Consumo,ART0005176,Articolo,ART0005136,ODP17-01203,1.00,0.00
22592,BUDGET,Consumo,ART0003958,Articolo,ART0004099,ODP17-00171,1.00,236.23
22593,BUDGET,Consumo,ART0004160,Articolo,ART0004099,ODP17-00171,1.00,8.00
22594,BUDGET,Consumo,ART0004015,Articolo,ART0004099,ODP17-00171,1.00,57.89
22595,BUDGET,Consumo,ART0004168,Articolo,ART0004099,ODP17-00171,1.00,0.00
22596,BUDGET,Consumo,ART0005251,Articolo,ART0004099,ODP17-00171,1.00,0.00
22597,BUDGET,Consumo,ART0004161,Articolo,ART0004099,ODP17-00171,1.00,12.88
22598,BUDGET,Consumo,ART0004159,Articolo,ART0004099,ODP17-00171,1.00,0.00
22599,BUDGET,Consumo,ART0004198,Articolo,ART0004099,ODP17-00171,1.00,0.00
22600,BUDGET,Consumo,ART0005252,Articolo,ART0004099,ODP17-00171,1.00,0.00
22601,BUDGET,Consumo,ART0005253,Articolo,ART0004099,ODP17-00171,2.00,0.00
22602,BUDGET,Consumo,ART0005272,Articolo,ART0004099,ODP17-00171,1.00,0.00
22603,BUDGET,Consumo,ART0005256,Articolo,ART0004099,ODP17-00171,2.00,0.00
22604,BUDGET,Consumo,ART0005255,Articolo,ART0004099,ODP17-00171,2.00,0.00
22605,BUDGET,Consumo,ART0004154,Articolo,ART0004099,ODP17-00171,2.00,0.00
22606,BUDGET,Consumo,ART0005257,Articolo,ART0004099,ODP17-00171,1.00,0.00
22607,BUDGET,Consumo,ART0005258,Articolo,ART0004099,ODP17-00171,1.00,0.00
22608,BUDGET,Consumo,ART0004147,Articolo,ART0004099,ODP17-00171,1.00,13.80
22609,BUDGET,Consumo,ART0004148,Articolo,ART0004099,ODP17-00171,1.00,10.12
22610,BUDGET,Consumo,ART0004149,Articolo,ART0004099,ODP17-00171,1.00,5.38
22611,BUDGET,Consumo,ART0004150,Articolo,ART0004099,ODP17-00171,1.00,0.00
22612,BUDGET,Consumo,ART0004151,Articolo,ART0004099,ODP17-00171,1.00,2.67
22613,BUDGET,Consumo,ART0004152,Articolo,ART0004099,ODP17-00171,1.00,11.83
22614,BUDGET,Consumo,ART0004153,Articolo,ART0004099,ODP17-00171,1.00,13.91
22615,BUDGET,Consumo,ART0005259,Articolo,ART0004099,ODP17-00171,1.00,2.00
22616,BUDGET,Consumo,ART0004155,Articolo,ART0004099,ODP17-00171,1.00,1.35
22617,BUDGET,Consumo,ART0004156,Articolo,ART0004099,ODP17-00171,1.00,4.15
22645,BUDGET,Consumo,ART0005260,Articolo,ART0003935,ODP16-16479,110.00,50.51
22676,BUDGET,Consumo,ART0004147,Articolo,ART0004146,ODP16-13864,31.00,418.80
22677,BUDGET,Consumo,ART0004148,Articolo,ART0004146,ODP16-13864,31.00,195.12
22678,BUDGET,Consumo,ART0004149,Articolo,ART0004146,ODP16-13864,31.00,161.44
22679,BUDGET,Consumo,ART0004150,Articolo,ART0004146,ODP16-13864,31.00,0.00
22680,BUDGET,Consumo,ART0004151,Articolo,ART0004146,ODP16-13864,31.00,82.63
22681,BUDGET,Consumo,ART0004152,Articolo,ART0004146,ODP16-13864,31.00,366.68
22682,BUDGET,Consumo,ART0004153,Articolo,ART0004146,ODP16-13864,31.00,333.01
22683,BUDGET,Consumo,ART0005259,Articolo,ART0004146,ODP16-13864,31.00,62.00
22684,BUDGET,Consumo,ART0004155,Articolo,ART0004146,ODP16-13864,31.00,41.85
22685,BUDGET,Consumo,ART0004156,Articolo,ART0004146,ODP16-13864,31.00,128.69
22686,BUDGET,Consumo,ART0004154,Articolo,ART0004146,ODP16-13864,31.00,0.70
22807,BUDGET,Consumo,ART0005277,Articolo,ART0001500,ODP17-00272,12.00,9.57
22810,BUDGET,Consumo,ART0005232,Articolo,ART0002273,ODP17-00272,48.00,4.96
22812,BUDGET,Consumo,ART0005279,Articolo,ART0002996,ODP17-00272,560.00,51.76
22813,BUDGET,Consumo,ART0001924,Articolo,ART0000805,ODP17-00975,1.00,239.85
22814,BUDGET,Consumo,ART0001814,Articolo,ART0000805,ODP17-00975,1.00,83.08
22815,BUDGET,Consumo,ART0005280,Articolo,ART0000805,ODP17-00975,1.00,8.75
22816,BUDGET,Consumo,ART0005281,Articolo,ART0000805,ODP17-00975,2.00,7.45
22817,BUDGET,Consumo,ART0003832,Articolo,ART0000805,ODP17-00975,3.00,7.50
22818,BUDGET,Consumo,ART0005282,Articolo,ART0000805,ODP17-00975,1.00,1.32
22819,BUDGET,Consumo,ART0005261,Articolo,ART0000805,ODP17-00975,1.00,0.00
22820,BUDGET,Consumo,ART0005145,Articolo,ART0000805,ODP17-00975,1.00,0.00
22821,BUDGET,Consumo,ART0001921,Articolo,ART0000752,ODP16-17117,1.00,115.79
22822,BUDGET,Consumo,ART0001811,Articolo,ART0000752,ODP16-17117,1.00,94.22
22823,BUDGET,Consumo,ART0001409,Articolo,ART0000752,ODP16-17117,1.00,6.17
22824,BUDGET,Consumo,ART0005242,Articolo,ART0000752,ODP16-17117,2.00,2.56
22825,BUDGET,Consumo,ART0005283,Articolo,ART0000752,ODP16-17117,1.00,0.09
22826,BUDGET,Consumo,ART0005284,Articolo,ART0000752,ODP16-17117,1.00,0.00
22827,BUDGET,Consumo,ART0005150,Articolo,ART0000752,ODP16-17117,1.00,0.00
22828,BUDGET,Consumo,ART0005285,Articolo,ART0001811,ODP16-17117,651.00,109.57
22829,BUDGET,Consumo,ART0005286,Articolo,ART0000630,ODP16-16561,2460.00,70.85
22830,BUDGET,Consumo,ART0005287,Articolo,ART0000644,ODP16-16561,2646.00,79.64
22831,BUDGET,Consumo,ART0005215,Articolo,ART0000645,ODP16-16561,1495.00,209.90
22834,BUDGET,Consumo,ART0005289,Articolo,ART0000312,ODP16-15706,44.00,88.00
22836,BUDGET,Consumo,ART0005290,Articolo,ART0000128,ODP16-15233,11.00,66.00
23030,BUDGET,Consumo,ART0001766,Articolo,ART0000825,ODP17-00323,3.00,303.92
23031,BUDGET,Consumo,ART0001920,Articolo,ART0000825,ODP17-00323,3.00,594.54
23032,BUDGET,Consumo,ART0003832,Articolo,ART0000825,ODP17-00323,9.00,22.50
23038,BUDGET,Consumo,ART0005148,Articolo,ART0001766,ODP17-00323,640.00,69.12
23039,BUDGET,Consumo,ART0005154,Articolo,ART0001920,ODP17-00323,705.00,38.54
23059,BUDGET,Consumo,ART0005296,Articolo,ART0001593,ODP17-00976,260.00,0.10
23064,BUDGET,Consumo,ART0005299,Articolo,ART0003160,ODP17-00976,125.00,5.04
23065,BUDGET,Consumo,ART0001897,Articolo,ART0000762,ODP17-01090,10.00,1085.87
23066,BUDGET,Consumo,ART0001785,Articolo,ART0000762,ODP17-01090,10.00,402.03
23067,BUDGET,Consumo,ART0005149,Articolo,ART0000762,ODP17-01090,10.00,0.00
23068,BUDGET,Consumo,ART0005140,Articolo,ART0000762,ODP17-01090,30.00,45.00
23069,BUDGET,Consumo,ART0005150,Articolo,ART0000762,ODP17-01090,10.00,0.00
23070,BUDGET,Consumo,ART0005151,Articolo,ART0000762,ODP17-01090,10.00,1.47
23071,BUDGET,Consumo,ART0001895,Articolo,ART0000782,ODP17-01274,3.00,345.96
23072,BUDGET,Consumo,ART0001783,Articolo,ART0000782,ODP17-01274,3.00,171.21
23073,BUDGET,Consumo,ART0001391,Articolo,ART0000782,ODP17-01274,3.00,8.28
23074,BUDGET,Consumo,ART0001387,Articolo,ART0000782,ODP17-01274,3.00,3.75
23075,BUDGET,Consumo,ART0003831,Articolo,ART0000782,ODP17-01274,6.00,15.00
23076,BUDGET,Consumo,ART0005139,Articolo,ART0000782,ODP17-01274,3.00,0.97
23077,BUDGET,Consumo,ART0002490,Articolo,ART0000782,ODP17-01274,3.00,53.65
23078,BUDGET,Consumo,ART0005300,Articolo,ART0000782,ODP17-01274,12.00,0.32
23101,BUDGET,Consumo,ART0005311,Articolo,ART0002385,ODP17-00322,3125.00,244.79
23102,BUDGET,Consumo,ART0005160,Articolo,ART0002513,ODP17-00855,180.00,39.45
23137,BUDGET,Consumo,ART0005323,Articolo,ART0002793,ODP17-00856,20.00,196.00
23151,BUDGET,Consumo,ART0001897,Articolo,ART0000762,ODP16-17384,15.00,1537.73
23152,BUDGET,Consumo,ART0001785,Articolo,ART0000762,ODP16-17384,15.00,715.55
23153,BUDGET,Consumo,ART0005149,Articolo,ART0000762,ODP16-17384,15.00,0.00
23154,BUDGET,Consumo,ART0005140,Articolo,ART0000762,ODP16-17384,45.00,67.50
23155,BUDGET,Consumo,ART0005150,Articolo,ART0000762,ODP16-17384,15.00,0.00
23156,BUDGET,Consumo,ART0005151,Articolo,ART0000762,ODP16-17384,15.00,2.21
23157,BUDGET,Consumo,ART0005154,Articolo,ART0001897,ODP16-17384,2175.00,87.73
23158,BUDGET,Consumo,ART0005148,Articolo,ART0001785,ODP16-17384,1280.00,138.25
23159,BUDGET,Consumo,ART0005324,Articolo,ART0002866,ODP17-01501,135.00,48.96
23213,BUDGET,Consumo,ART0001886,Articolo,ART0000848,ODP16-17386,15.00,1337.50
23214,BUDGET,Consumo,ART0001775,Articolo,ART0000848,ODP16-17386,15.00,711.41
23215,BUDGET,Consumo,ART0001403,Articolo,ART0000848,ODP16-17386,15.00,62.50
23216,BUDGET,Consumo,ART0005222,Articolo,ART0000848,ODP16-17386,45.00,95.25
23217,BUDGET,Consumo,ART0005332,Articolo,ART0000848,ODP16-17386,30.00,118.50
23218,BUDGET,Consumo,ART0005283,Articolo,ART0000848,ODP16-17386,15.00,1.32
23219,BUDGET,Consumo,ART0005333,Articolo,ART0001886,ODP16-17386,2925.00,0.00
23220,BUDGET,Consumo,ART0005334,Articolo,ART0001775,ODP16-17386,2550.00,185.31
23285,BUDGET,Consumo,ART0005185,Articolo,ART0003780,ODP17-00973,4536.00,47.78
23289,BUDGET,Consumo,ART0005154,Articolo,ART0003610,ODP17-00973,362.00,8.81
23290,BUDGET,Consumo,ART0005335,Articolo,ART0003610,ODP17-00973,8.00,1.01
23291,BUDGET,Consumo,ART0005336,Articolo,ART0003610,ODP17-00973,8.00,6.40
23375,BUDGET,Consumo,ART0001866,Articolo,ART0000795,ODP17-01092,20.00,2708.72
23376,BUDGET,Consumo,ART0001759,Articolo,ART0000795,ODP17-01092,20.00,675.17
23377,BUDGET,Consumo,ART0005137,Articolo,ART0000795,ODP17-01092,20.00,0.00
23378,BUDGET,Consumo,ART0005152,Articolo,ART0000795,ODP17-01092,20.00,0.00
23379,BUDGET,Consumo,ART0003832,Articolo,ART0000795,ODP17-01092,40.00,100.00
23380,BUDGET,Consumo,ART0005153,Articolo,ART0000795,ODP17-01092,20.00,7.28
23381,BUDGET,Consumo,ART0005160,Articolo,ART0001866,ODP17-01092,6800.00,1467.44
23382,BUDGET,Consumo,ART0005227,Articolo,ART0001759,ODP17-01092,3000.00,437.84
23383,BUDGET,Consumo,ART0005339,Articolo,ART0000131,ODP16-16476,1470.00,26.22
23384,BUDGET,Consumo,ART0005340,Articolo,ART0001249,ODP17-01401,530.00,5.71
23386,BUDGET,Consumo,ART0005162,Articolo,ART0002010,ODP17-01401,54.00,6.09
23387,BUDGET,Consumo,ART0005341,Articolo,ART0002267,ODP17-01401,130.00,4.16
23388,BUDGET,Consumo,ART0005342,Articolo,ART0003135,ODP17-01401,4.00,108.00
23522,BUDGET,Consumo,ART0005232,Articolo,ART0002139,ODP17-01403,53.00,5.48
23523,BUDGET,Consumo,ART0005232,Articolo,ART0002140,ODP17-01403,53.00,5.48
23524,BUDGET,Consumo,ART0005279,Articolo,ART0002895,ODP17-01403,280.00,25.88
23525,BUDGET,Consumo,ART0005279,Articolo,ART0002896,ODP17-01403,280.00,25.88
23548,BUDGET,Consumo,ART0005348,Articolo,ART0000690,ODP17-01508,450.00,11.22
23600,BUDGET,Consumo,ART0005148,Articolo,ART0004202,ODP17-01566,25.00,2.70
23720,BUDGET,Consumo,ART0005351,Articolo,ART0002882,ODP17-01760,50.00,8.14
23721,BUDGET,Consumo,ART0001877,Articolo,ART0000756,ODP17-01269,5.00,643.04
23722,BUDGET,Consumo,ART0001765,Articolo,ART0000756,ODP17-01269,5.00,301.49
23723,BUDGET,Consumo,ART0001429,Articolo,ART0000756,ODP17-01269,10.00,39.29
23724,BUDGET,Consumo,ART0005140,Articolo,ART0000756,ODP17-01269,15.00,22.50
23725,BUDGET,Consumo,ART0005141,Articolo,ART0000756,ODP17-01269,5.00,0.98
23726,BUDGET,Consumo,ART0005165,Articolo,ART0001765,ODP17-01269,330.00,161.79
23729,BUDGET,Consumo,ART0005149,Articolo,ART0000765,ODP17-01510,1.00,0.00
23730,BUDGET,Consumo,ART0005150,Articolo,ART0000765,ODP17-01510,1.00,0.00
23731,BUDGET,Consumo,ART0005352,Articolo,ART0000765,ODP17-01510,1.00,186.00
23732,BUDGET,Consumo,ART0005353,Articolo,ART0000765,ODP17-01510,1.00,41.70
23733,BUDGET,Consumo,ART0005140,Articolo,ART0000765,ODP17-01510,3.00,4.50
23734,BUDGET,Consumo,ART0005151,Articolo,ART0000765,ODP17-01510,1.00,0.15
23735,BUDGET,Consumo,ART0005354,Articolo,ART0002740,ODP17-01511,2800.00,78.44
23742,BUDGET,Consumo,ART0005356,Articolo,ART0001628,ODP17-01517,1950.00,4.23
23748,BUDGET,Consumo,ART0005357,Articolo,ART0001659,ODP17-01517,10800.00,22.44
23833,BUDGET,Consumo,ART0005286,Articolo,ART0000630,ODP17-00857,1743.00,50.56
23834,BUDGET,Consumo,ART0005209,Articolo,ART0000625,ODP17-01693,1225.00,161.18
23835,BUDGET,Consumo,ART0005373,Articolo,ART0000627,ODP17-01693,2500.00,117.52
23836,BUDGET,Consumo,ART0005211,Articolo,ART0000635,ODP17-01693,10.00,30.00
23837,BUDGET,Consumo,ART0005215,Articolo,ART0000645,ODP17-01693,1495.00,209.89
23840,BUDGET,Consumo,ART0005374,Articolo,ART0004385,ODP17-01506,41.00,221.60
23845,BUDGET,Consumo,ART0005160,Articolo,ART0000125,ODP17-00418,45.00,9.62
23847,BUDGET,Consumo,ART0005377,Articolo,ART0000313,ODP17-00418,7.00,74.40
24147,BUDGET,Consumo,ART0005409,Articolo,ART0002015,ODP17-01405,12.00,4.07
24148,BUDGET,Consumo,ART0005232,Articolo,ART0002070,ODP17-01405,25.00,2.58
24149,BUDGET,Consumo,ART0001874,Articolo,ART0000757,ODP17-01406,1.00,282.51
24150,BUDGET,Consumo,ART0001762,Articolo,ART0000757,ODP17-01406,1.00,205.97
24151,BUDGET,Consumo,ART0001982,Articolo,ART0000757,ODP17-01406,1.00,2.00
24152,BUDGET,Consumo,ART0005149,Articolo,ART0000757,ODP17-01406,1.00,0.00
24153,BUDGET,Consumo,ART0005225,Articolo,ART0000757,ODP17-01406,1.00,0.00
24154,BUDGET,Consumo,ART0005226,Articolo,ART0000757,ODP17-01406,1.00,0.20
24155,BUDGET,Consumo,ART0005140,Articolo,ART0000757,ODP17-01406,4.00,6.00
24156,BUDGET,Consumo,ART0005410,Articolo,ART0001874,ODP17-01406,135.00,16.51
24157,BUDGET,Consumo,ART0005168,Articolo,ART0001762,ODP17-01406,125.00,12.27
24160,BUDGET,Consumo,ART0001895,Articolo,ART0000782,ODP17-01509,5.00,569.32
24161,BUDGET,Consumo,ART0001783,Articolo,ART0000782,ODP17-01509,5.00,340.98
24162,BUDGET,Consumo,ART0001391,Articolo,ART0000782,ODP17-01509,5.00,13.80
24163,BUDGET,Consumo,ART0001387,Articolo,ART0000782,ODP17-01509,5.00,6.25
24164,BUDGET,Consumo,ART0003831,Articolo,ART0000782,ODP17-01509,10.00,25.00
24165,BUDGET,Consumo,ART0005139,Articolo,ART0000782,ODP17-01509,5.00,1.61
24166,BUDGET,Consumo,ART0002490,Articolo,ART0000782,ODP17-01509,5.00,89.42
24167,BUDGET,Consumo,ART0005300,Articolo,ART0000782,ODP17-01509,20.00,0.53
24168,BUDGET,Consumo,ART0005249,Articolo,ART0001895,ODP17-01509,510.00,0.00
24169,BUDGET,Consumo,ART0005164,Articolo,ART0001783,ODP17-01509,330.00,28.86
24170,BUDGET,Consumo,ART0001921,Articolo,ART0000752,ODP17-01273,6.00,620.28
24171,BUDGET,Consumo,ART0001811,Articolo,ART0000752,ODP17-01273,6.00,565.35
24172,BUDGET,Consumo,ART0001409,Articolo,ART0000752,ODP17-01273,6.00,37.00
24173,BUDGET,Consumo,ART0005242,Articolo,ART0000752,ODP17-01273,12.00,15.36
24174,BUDGET,Consumo,ART0005283,Articolo,ART0000752,ODP17-01273,6.00,0.53
24175,BUDGET,Consumo,ART0005284,Articolo,ART0000752,ODP17-01273,6.00,0.00
24176,BUDGET,Consumo,ART0005150,Articolo,ART0000752,ODP17-01273,6.00,0.00
24177,BUDGET,Consumo,ART0005171,Articolo,ART0001921,ODP17-01273,1375.00,112.68
24248,BUDGET,Consumo,ART0001923,Articolo,ART0000804,ODP17-01276,3.00,834.46
24249,BUDGET,Consumo,ART0001813,Articolo,ART0000804,ODP17-01276,3.00,174.83
24250,BUDGET,Consumo,ART0001989,Articolo,ART0000804,ODP17-01276,3.00,48.35
24251,BUDGET,Consumo,ART0005261,Articolo,ART0000804,ODP17-01276,3.00,0.00
24252,BUDGET,Consumo,ART0005262,Articolo,ART0000804,ODP17-01276,3.00,0.00
24253,BUDGET,Consumo,ART0005412,Articolo,ART0000804,ODP17-01276,3.00,1.45
24254,BUDGET,Consumo,ART0003832,Articolo,ART0000804,ODP17-01276,6.00,15.00
24274,BUDGET,Consumo,ART0001082,Articolo,ART0005091,ODP17-01515,152.00,3.03
24275,BUDGET,Consumo,ART0005286,Articolo,ART0004941,ODP17-01515,1800.00,55.68
24276,BUDGET,Consumo,ART0005416,Articolo,ART0004942,ODP17-01515,224.00,17.48
24277,BUDGET,Consumo,ART0005233,Articolo,ART0004944,ODP17-01515,112.00,1.00
24278,BUDGET,Consumo,ART0005417,Articolo,ART0004946,ODP17-01515,1216.00,15.81
24279,BUDGET,Consumo,ART0005418,Articolo,ART0004947,ODP17-01515,384.00,5.24
